code,url,creator,created_t,last_modified_t,product_name,abbreviated_product_name,generic_name,quantity,packaging,packaging_tags,packaging_text,brands,brands_tags,categories,categories_tags,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,emb_codes,emb_codes_tags,cities,cities_tags,purchase_places,stores,countries,ingredients_text,allergens,allergens_tags,traces,traces_tags,serving_size,serving_quantity,no_nutriments,additives_n,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,states,brand_owner,ecoscore_score_fr,ecoscore_grade_fr,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,-soluble-fiber_100g,-insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g,search_category,search_country
8001010076568,https://world.openfoodfacts.org/product/8001010076568,kiliweb,1485939327,1622589370,Glassa all'Aceto Balsamico di Modena IGP,NA,NA,250g,"flasche,flaccone","flasche,flaccone",NA,Ponti,ponti,"Groceries, Condiments, Glazes with vinegar","en:groceries,en:condiments,en:glazes-with-vinegar",NA,NA,NA,NA,Made in Italy,en:made-in-italy,NA,NA,NA,NA,NA,NA,"Austria,Francia,Alemania,Italia,Suiza","the must of cooked grapes, balsamic vinegar (wine vinegar, concentrated grape must, grape must cooked, colour: caramel (e 150d), wine vinegar, colouring: caramel e 150d, maize starch modified, xanthan gum, contains sulphite,",en:sulphur-dioxide-and-sulphites,en:sulphur-dioxide-and-sulphites,NA,NA,NA,NA,NA,2,"en:e150d,en:e415",0,NA,NA,0,NA,NA,11,d,4,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:glazes-with-vinegar,https://images.openfoodfacts.org/images/products/800/101/007/6568/front_en.69.400.jpg,https://images.openfoodfacts.org/images/products/800/101/007/6568/front_en.69.200.jpg,https://images.openfoodfacts.org/images/products/800/101/007/6568/front_en.69.400.jpg,https://images.openfoodfacts.org/images/products/800/101/007/6568/front_en.69.200.jpg,NA,NA,NA,NA,984,189,984,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,0.05,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Italy
3036810201280,https://world.openfoodfacts.org/product/3036810201280,openfoodfacts-contributors,1415014704,1630438790,NA,NA,NA,200ml,"Glas,70 GL,40 FE,Glas/Gläser","glas,70-gl,40-fe,glas-glaser",NA,Maille,maille,"en:Groceries,en:Condiments,en:Sauces,en:Mustards,en:Dijon mustards","en:groceries,en:condiments,en:sauces,en:mustards,en:dijon-mustards",en:Unspecified,en:unspecified,Frankreich,frankreich,NA,NA,NA,NA,NA,NA,"Deutschland,Espanya","Woolworths,REWE,HIT,Coles,BonPreu","Australija,Belgija,Hrvatska,Francuska,Njemačka,Italija,Nizozemska,Portugal,Rumunjska,Španjolska,Švedska,Švicarska","water, mustard grains, brandy vinegar, salt, acidifier: citric acid, preservative: potassium metabisulphite ,","en:mustard,de:Kaliummetabisulfit","en:mustard,de:kaliummetabisulfit",NA,NA,10g,10,NA,2,"en:e224,en:e330",0,NA,NA,0,NA,NA,11,d,3,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:dijon-mustards,https://images.openfoodfacts.org/images/products/303/681/020/1280/front.3.400.jpg,https://images.openfoodfacts.org/images/products/303/681/020/1280/front.3.200.jpg,https://images.openfoodfacts.org/images/products/303/681/020/1280/front.3.400.jpg,https://images.openfoodfacts.org/images/products/303/681/020/1280/front.3.200.jpg,NA,NA,NA,NA,620,150,620,NA,11,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,5.7,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Italy
3036810207589,https://world.openfoodfacts.org/product/3036810207589,openfoodfacts-contributors,1460886156,1622748173,Mostaza à l'Ancienne,NA,Mostaza a la Antigua,210 g,"40 FE,70 GL,Glas,Glas/Gläser,Produkt","40-fe,70-gl,glas,glas-glaser,produkt",NA,Maille,maille,"Comestibles, Condimentos, Salsas, Salsas de mostaza, Mostazas a la antigua","en:groceries,en:condiments,en:sauces,en:mustards,en:old-style-mustards",Frankreich,es:frankreich,Frankreich,frankreich,NA,NA,NA,NA,NA,NA,"México,Deutschland","Woolworths,REWE","Australia,Bélgica,Alemania,Italia,México,España,Suiza","vinagre de alcohol (47%), semillas de MOSTAZA, agua, sal, vino blanco (4,8%) (contiene SULFITOS), azúcar, aroma natural, acidulante: ácido lactico","en:mustard,en:sulphur-dioxide-and-sulphites","en:mustard,en:sulphur-dioxide-and-sulphites",NA,NA,100g,100,NA,1,en:e270,0,NA,NA,0,NA,NA,10,c,4,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:old-style-mustards,https://images.openfoodfacts.org/images/products/303/681/020/7589/front_es.49.400.jpg,https://images.openfoodfacts.org/images/products/303/681/020/7589/front_es.49.200.jpg,https://images.openfoodfacts.org/images/products/303/681/020/7589/front_es.49.400.jpg,https://images.openfoodfacts.org/images/products/303/681/020/7589/front_es.49.200.jpg,https://images.openfoodfacts.org/images/products/303/681/020/7589/ingredients_es.75.400.jpg,https://images.openfoodfacts.org/images/products/303/681/020/7589/ingredients_es.75.200.jpg,https://images.openfoodfacts.org/images/products/303/681/020/7589/nutrition_es.32.400.jpg,https://images.openfoodfacts.org/images/products/303/681/020/7589/nutrition_es.32.200.jpg,731,176,731,NA,10,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.4,6,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,6.9,NA,NA,NA,5.2,2.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Italy
8006820000031,https://world.openfoodfacts.org/product/8006820000031,telperion87,1588797047,1610567552,Zafferano,NA,NA,4 x 0.15 g,NA,NA,NA,3 cuochi,3-cuochi,"Cibi e bevande a base vegetale, Cibi a base vegetale, Generi alimentari, Condimenti, Spezie","en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:spices",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:spices,https://images.openfoodfacts.org/images/products/800/682/000/0031/front_it.13.400.jpg,https://images.openfoodfacts.org/images/products/800/682/000/0031/front_it.13.200.jpg,https://images.openfoodfacts.org/images/products/800/682/000/0031/front_it.13.400.jpg,https://images.openfoodfacts.org/images/products/800/682/000/0031/front_it.13.200.jpg,https://images.openfoodfacts.org/images/products/800/682/000/0031/ingredients_it.7.400.jpg,https://images.openfoodfacts.org/images/products/800/682/000/0031/ingredients_it.7.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Italy
8032077000579,https://world.openfoodfacts.org/product/8032077000579,kiliweb,1610286913,1628793098,Sale Rosa Grosso dell’Himalaya,NA,NA,NA,NA,NA,NA,Vivibio,vivibio,"it:Sale rosa dell'himalaya, fr:Sels roses de l'Himalaya","en:groceries,en:condiments,en:salts,en:himalaya-salts,fr:sels-roses-de-l-himalaya,it:sale-rosa-dell-himalaya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,en:it,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,it:sale-rosa-dell-himalaya,https://images.openfoodfacts.org/images/products/803/207/700/0579/front_it.3.400.jpg,https://images.openfoodfacts.org/images/products/803/207/700/0579/front_it.3.200.jpg,https://images.openfoodfacts.org/images/products/803/207/700/0579/front_it.3.400.jpg,https://images.openfoodfacts.org/images/products/803/207/700/0579/front_it.3.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Italy
80046462,https://world.openfoodfacts.org/product/80046462,nur,1604763149,1610214263,Senape in grani,NA,NA,135 g,vetro,vetro,NA,orco,orco,"Generi alimentari, Condimenti, Salse, Senapi","en:groceries,en:condiments,en:sauces,en:mustards",NA,NA,"via Bainsizza, 44 - Varese (VA) Italia","via-bainsizza,44-varese-va-italia","Senza glutine,Prodotto in Italia","en:no-gluten,en:made-in-italy",NA,NA,NA,NA,Italia,"Esselunga,Tigros,Coop,Bennet,Coop","Italia,en:italy","Aceto di acquavite, semi di SENAPE, acqua, sale. (contiene SOLFITI)",NA,"en:mustard,en:sulphur-dioxide-and-sulphites","en:mustard,en:sulphur-dioxide-and-sulphites","en:mustard,en:sulphur-dioxide-and-sulphites",NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,12,d,3,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:mustards,https://images.openfoodfacts.org/images/products/80046462/front_it.21.400.jpg,https://images.openfoodfacts.org/images/products/80046462/front_it.21.200.jpg,https://images.openfoodfacts.org/images/products/80046462/front_it.21.400.jpg,https://images.openfoodfacts.org/images/products/80046462/front_it.21.200.jpg,https://images.openfoodfacts.org/images/products/80046462/ingredients_it.7.400.jpg,https://images.openfoodfacts.org/images/products/80046462/ingredients_it.7.200.jpg,https://images.openfoodfacts.org/images/products/80046462/nutrition_it.23.400.jpg,https://images.openfoodfacts.org/images/products/80046462/nutrition_it.23.200.jpg,NA,148,619,NA,9.7,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,1.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,NA,5.7,2.28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Italy
9300641001062,https://world.openfoodfacts.org/product/9300641001062,openfood-ch-import,1486507893,1610038409,Vanille-Paste,NA,NA,65 g,"Verre, en:pet-tub","verre,en-pet-tub",NA,Taylor & Colledge,taylor-colledge,"Lebensmittel, Gewürzmittel","en:groceries,en:condiments",NA,NA,NA,NA,"Bio, EU-Öko-Verordnung, en:AU-BIO-107","en:organic,en:eu-organic,en:au-bio-107",NA,NA,NA,NA,NA,NA,"France,Allemagne,Italie,Suisse","Vanilleextrakt mit Samen 47%, Zucker, Nahrungsfasern: Inulin; Verdickungsmittel: Tragant.",NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,6,c,4,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:condiments,https://images.openfoodfacts.org/images/products/930/064/100/1062/front_de.22.400.jpg,https://images.openfoodfacts.org/images/products/930/064/100/1062/front_de.22.200.jpg,https://images.openfoodfacts.org/images/products/930/064/100/1062/front_de.22.400.jpg,https://images.openfoodfacts.org/images/products/930/064/100/1062/front_de.22.200.jpg,https://images.openfoodfacts.org/images/products/930/064/100/1062/ingredients_en.28.400.jpg,https://images.openfoodfacts.org/images/products/930/064/100/1062/ingredients_en.28.200.jpg,https://images.openfoodfacts.org/images/products/930/064/100/1062/nutrition_de.24.400.jpg,https://images.openfoodfacts.org/images/products/930/064/100/1062/nutrition_de.24.200.jpg,829,196,829,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,45,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Italy
8000633017378,https://world.openfoodfacts.org/product/8000633017378,kiliweb,1609875955,1624477150,Senape,NA,NA,NA,NA,NA,NA,Unes,unes,"Generi alimentari,Condimenti,Salse,Senapi","en:groceries,en:condiments,en:sauces,en:mustards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Italia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,d,NA,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:mustards,https://images.openfoodfacts.org/images/products/800/063/301/7378/front_it.3.400.jpg,https://images.openfoodfacts.org/images/products/800/063/301/7378/front_it.3.200.jpg,https://images.openfoodfacts.org/images/products/800/063/301/7378/front_it.3.400.jpg,https://images.openfoodfacts.org/images/products/800/063/301/7378/front_it.3.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/800/063/301/7378/nutrition_it.5.400.jpg,https://images.openfoodfacts.org/images/products/800/063/301/7378/nutrition_it.5.200.jpg,NA,101,423,NA,6.5,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,NA,NA,NA,3.1,1.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Italy
8001120007889,https://world.openfoodfacts.org/product/8001120007889,kiliweb,1566990565,1609853503,Vongole Sgusciate,NA,NA,65 g,"vetro,metallo","vetro,metallo",NA,Coop,coop,"Epicerie, Condiments, Produits de la mer, Mollusques","en:groceries,en:condiments,en:seafood,en:mollusc","mar Nero,FAO 37.4","it:fao-37-4,it:mar-nero","via Annunziata, San Marco di C.te (SA) Italia","via-annunziata,san-marco-di-c-te-sa-italia",Pêche durable,en:sustainable-fishery,it-126-ec,it-126-ec,NA,NA,Italia,Coop,"Francia,Italia,en:italy",NA,NA,NA,en:crustaceans,en:crustaceans,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,b,NA,Fish Meat Eggs,Fish and seafood,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-completed, en:characteristics-completed, en:origins-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:mollusc,https://images.openfoodfacts.org/images/products/800/112/000/7889/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/800/112/000/7889/front_fr.3.200.jpg,https://images.openfoodfacts.org/images/products/800/112/000/7889/front_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/800/112/000/7889/front_fr.3.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/800/112/000/7889/nutrition_fr.5.400.jpg,https://images.openfoodfacts.org/images/products/800/112/000/7889/nutrition_fr.5.200.jpg,NA,146,611,NA,1.6,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.9,0,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,12.8,NA,NA,NA,1.2,0.48,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Italy
8013624009603,https://world.openfoodfacts.org/product/8013624009603,nur,1609768208,1609768456,Zenzero polvere,NA,NA,150 g,plastica,plastica,NA,Cerreto,cerreto,"Cibi e bevande a base vegetale, Cibi a base vegetale, Generi alimentari, Condimenti, Spezie, Zenzero","en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:spices,en:ginger",NA,NA,"via Verdi, 15 - Gattatico (RE) Italia","via-verdi,15-gattatico-re-italia",IT-BIO-006,"en:organic,en:eu-organic,en:it-bio-006",NA,NA,NA,NA,Italia,NA,"Italia,en:italy",ZENZERO,NA,NA,"en:celery,en:sesame-seeds,en:soybeans","en:celery,en:sesame-seeds,en:soybeans",NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,1,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:ginger,https://images.openfoodfacts.org/images/products/801/362/400/9603/front_it.4.400.jpg,https://images.openfoodfacts.org/images/products/801/362/400/9603/front_it.4.200.jpg,https://images.openfoodfacts.org/images/products/801/362/400/9603/front_it.4.400.jpg,https://images.openfoodfacts.org/images/products/801/362/400/9603/front_it.4.200.jpg,https://images.openfoodfacts.org/images/products/801/362/400/9603/ingredients_it.7.400.jpg,https://images.openfoodfacts.org/images/products/801/362/400/9603/ingredients_it.7.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Italy
