code,url,creator,created_t,last_modified_t,product_name,abbreviated_product_name,generic_name,quantity,packaging,packaging_tags,packaging_text,brands,brands_tags,categories,categories_tags,origins,origins_tags,manufacturing_places,manufacturing_places_tags,labels,labels_tags,emb_codes,emb_codes_tags,cities,cities_tags,purchase_places,stores,countries,ingredients_text,allergens,allergens_tags,traces,traces_tags,serving_size,serving_quantity,no_nutriments,additives_n,additives_tags,ingredients_from_palm_oil_n,ingredients_from_palm_oil,ingredients_from_palm_oil_tags,ingredients_that_may_be_from_palm_oil_n,ingredients_that_may_be_from_palm_oil,ingredients_that_may_be_from_palm_oil_tags,nutriscore_score,nutriscore_grade,nova_group,pnns_groups_1,pnns_groups_2,states,brand_owner,ecoscore_score_fr,ecoscore_grade_fr,main_category,image_url,image_small_url,image_front_url,image_front_small_url,image_ingredients_url,image_ingredients_small_url,image_nutrition_url,image_nutrition_small_url,energy-kj_100g,energy-kcal_100g,energy_100g,energy-from-fat_100g,fat_100g,saturated-fat_100g,-butyric-acid_100g,-caproic-acid_100g,-caprylic-acid_100g,-capric-acid_100g,-lauric-acid_100g,-myristic-acid_100g,-palmitic-acid_100g,-stearic-acid_100g,-arachidic-acid_100g,-behenic-acid_100g,-lignoceric-acid_100g,-cerotic-acid_100g,-montanic-acid_100g,-melissic-acid_100g,monounsaturated-fat_100g,polyunsaturated-fat_100g,omega-3-fat_100g,-alpha-linolenic-acid_100g,-eicosapentaenoic-acid_100g,-docosahexaenoic-acid_100g,omega-6-fat_100g,-linoleic-acid_100g,-arachidonic-acid_100g,-gamma-linolenic-acid_100g,-dihomo-gamma-linolenic-acid_100g,omega-9-fat_100g,-oleic-acid_100g,-elaidic-acid_100g,-gondoic-acid_100g,-mead-acid_100g,-erucic-acid_100g,-nervonic-acid_100g,trans-fat_100g,cholesterol_100g,carbohydrates_100g,sugars_100g,-sucrose_100g,-glucose_100g,-fructose_100g,-lactose_100g,-maltose_100g,-maltodextrins_100g,starch_100g,polyols_100g,fiber_100g,-soluble-fiber_100g,-insoluble-fiber_100g,proteins_100g,casein_100g,serum-proteins_100g,nucleotides_100g,salt_100g,sodium_100g,alcohol_100g,vitamin-a_100g,beta-carotene_100g,vitamin-d_100g,vitamin-e_100g,vitamin-k_100g,vitamin-c_100g,vitamin-b1_100g,vitamin-b2_100g,vitamin-pp_100g,vitamin-b6_100g,vitamin-b9_100g,folates_100g,vitamin-b12_100g,biotin_100g,pantothenic-acid_100g,silica_100g,bicarbonate_100g,potassium_100g,chloride_100g,calcium_100g,phosphorus_100g,iron_100g,magnesium_100g,zinc_100g,copper_100g,manganese_100g,fluoride_100g,selenium_100g,chromium_100g,molybdenum_100g,iodine_100g,caffeine_100g,taurine_100g,ph_100g,fruits-vegetables-nuts_100g,fruits-vegetables-nuts-dried_100g,fruits-vegetables-nuts-estimate_100g,collagen-meat-protein-ratio_100g,cocoa_100g,chlorophyl_100g,carbon-footprint_100g,carbon-footprint-from-meat-or-fish_100g,nutrition-score-fr_100g,nutrition-score-uk_100g,glycemic-index_100g,water-hardness_100g,choline_100g,phylloquinone_100g,beta-glucan_100g,inositol_100g,carnitine_100g,search_category,search_country
8480000341846,https://world.openfoodfacts.org/product/8480000341846,openfoodfacts-contributors,1562494854,1632852207,Pimentón dulce,NA,Pimentón dulce,56 g,"01 PET,Green Dot","01-pet,green-dot",NA,Hacendado,hacendado,"Plant-based foods and beverages,Plant-based foods,Groceries,Condiments,Spices,Paprika","en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:spices,en:paprika",NA,NA,"Alicante,España","alicante,espana","No gluten,Green Dot","en:no-gluten,en:green-dot",NA,NA,NA,NA,NA,Mercadona,Spain,Pimentón dulce.,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,1,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:paprika,https://images.openfoodfacts.org/images/products/848/000/034/1846/front_es.54.400.jpg,https://images.openfoodfacts.org/images/products/848/000/034/1846/front_es.54.200.jpg,https://images.openfoodfacts.org/images/products/848/000/034/1846/front_es.54.400.jpg,https://images.openfoodfacts.org/images/products/848/000/034/1846/front_es.54.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/848/000/034/1846/nutrition_en.40.400.jpg,https://images.openfoodfacts.org/images/products/848/000/034/1846/nutrition_en.40.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Spain
0025638000062,https://world.openfoodfacts.org/product/0025638000062,kiliweb,1571754639,1632771141,Madagascar bourbon vanilla paste,NA,NA,NA,NA,NA,NA,Nielsen-Massey Vanillas,nielsen-massey-vanillas,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Comestibles,Condimentos,Especias,Vainilla","en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:spices,en:vanilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,España,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-to-be-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:vanilla,https://images.openfoodfacts.org/images/products/002/563/800/0062/front_es.7.400.jpg,https://images.openfoodfacts.org/images/products/002/563/800/0062/front_es.7.200.jpg,https://images.openfoodfacts.org/images/products/002/563/800/0062/front_es.7.400.jpg,https://images.openfoodfacts.org/images/products/002/563/800/0062/front_es.7.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Spain
8715035110106,https://world.openfoodfacts.org/product/8715035110106,elia,1351427339,1632764558,Soy sauce,NA,Naturally brewed soy sauce,150 ml,"bouteille verre,plastique,plast,en:glass-bottle,en:unknown-lid","bouteille-verre,plastique,plast,en-glass-bottle,en-unknown-lid","Bottle to glas, Cap opaque PP to plastic, plastic film Other to discard",Kikkoman,kikkoman,"Groceries,Condiments,Sauces,Soy sauces,fr:Sauces au soja salées","en:groceries,en:condiments,en:sauces,en:soy-sauces,fr:sauces-au-soja-salees",NA,NA,Nizozemska,nizozemska,"Contient du soja,Union Végétarienne Européenne,Union Végétarienne Européenne - Vegan,Végétalien,Végétarien","en:contient-du-soja,en:union-vegetarienne-europeenne,en:union-vegetarienne-europeenne-vegan,en:vegetalien,en:vegetarien",NA,NA,NA,NA,"United Kingdom,Paris,hrvatska","Asda,Irma.dk,Magasins U,Sainsbury's","Croatia,Denmark,France,Germany,Italy,Mexico,Netherlands,Norway,Spain,Switzerland,United Kingdom","water,  soybeans ,  wheat , salt,","en:gluten,en:soybeans,fr:Alcool,hr:Pšenica,hr:Sojino zrno","en:gluten,en:soybeans,fr:alcool,hr:pšenica,hr:sojino-zrno",NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,5,c,3,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,fr:sauces-au-soja-salees,https://images.openfoodfacts.org/images/products/871/503/511/0106/front_en.172.400.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/front_en.172.200.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/front_en.172.400.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/front_en.172.200.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/ingredients_en.163.400.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/ingredients_en.163.200.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/nutrition_en.143.400.jpg,https://images.openfoodfacts.org/images/products/871/503/511/0106/nutrition_en.143.200.jpg,325,77,325,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,16.9,6.76,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Spain
8480000347213,https://world.openfoodfacts.org/product/8480000347213,kiliweb,1576094754,1632763574,Cilantro,NA,Cilantro,12g,NA,NA,NA,Hacendado,hacendado,Ground coriander leaves,"en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:culinary-plants,en:aromatic-plants,en:dried-products,en:aromatic-herbs,en:dried-plant-based-foods,en:ground-dried-aromatic-plants,en:coriander-products,en:coriander-leaves,en:ground-coriander-leaves",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mercadona,Spain,Cilantro.,NA,NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,0,NA,NA,NA,NA,1,unknown,unknown,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:ground-coriander-leaves,https://images.openfoodfacts.org/images/products/848/000/034/7213/front_es.8.400.jpg,https://images.openfoodfacts.org/images/products/848/000/034/7213/front_es.8.200.jpg,https://images.openfoodfacts.org/images/products/848/000/034/7213/front_es.8.400.jpg,https://images.openfoodfacts.org/images/products/848/000/034/7213/front_es.8.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Spain
7502211237648,https://world.openfoodfacts.org/product/7502211237648,elcoco,1571525831,1632682560,Mostaza,NA,NA,368 g,NA,NA,NA,Heinz,heinz,en:sweet-mustards,"en:groceries,en:condiments,en:sauces,en:mustards,en:sweet-mustards",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,España,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:sweet-mustards,https://images.openfoodfacts.org/images/products/750/221/123/7648/front_es.5.400.jpg,https://images.openfoodfacts.org/images/products/750/221/123/7648/front_es.5.200.jpg,https://images.openfoodfacts.org/images/products/750/221/123/7648/front_es.5.400.jpg,https://images.openfoodfacts.org/images/products/750/221/123/7648/front_es.5.200.jpg,https://images.openfoodfacts.org/images/products/750/221/123/7648/ingredients_es.12.400.jpg,https://images.openfoodfacts.org/images/products/750/221/123/7648/ingredients_es.12.200.jpg,https://images.openfoodfacts.org/images/products/750/221/123/7648/nutrition_es.6.400.jpg,https://images.openfoodfacts.org/images/products/750/221/123/7648/nutrition_es.6.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Spain
3034450001123,https://world.openfoodfacts.org/product/3034450001123,openfoodfacts-contributors,1359453311,1632673822,NA,NA,NA,200 g,"Flacon,Verre,pot en verre,fr:Bouteille en verre,fr:Bouchon","flacon,verre,pot-en-verre,fr-bouteille-en-verre,fr-bouchon",NA,Knorr,knorr,"Comestibles,Salsas,Aderezos","en:groceries,en:condiments,en:sauces,en:seasonings",NA,NA,NA,NA,Punto Verde,en:green-dot,NA,NA,NA,NA,Marseille 5°,"Super U,Magasins U,Mercadona","Francia,España","water, salt, yeast extract, dye: caramel e 150c, soy sauce (water, soja beans, blé, salt), flavour enhancers: glutamate, sodium inosinate and guanylate, sugar, flavours (including blé and cee), acidifiers: lactic acid and citric acid, beef extract,","en:celery,en:gluten,en:soybeans","en:celery,en:gluten,en:soybeans",NA,NA,NA,NA,NA,4,"en:e150c,en:e270,en:e330,en:e621",0,NA,NA,0,NA,NA,7,c,4,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:seasonings,https://images.openfoodfacts.org/images/products/303/445/000/1123/front_en.95.400.jpg,https://images.openfoodfacts.org/images/products/303/445/000/1123/front_en.95.200.jpg,https://images.openfoodfacts.org/images/products/303/445/000/1123/front_en.95.400.jpg,https://images.openfoodfacts.org/images/products/303/445/000/1123/front_en.95.200.jpg,NA,NA,https://images.openfoodfacts.org/images/products/303/445/000/1123/nutrition.15.400.jpg,https://images.openfoodfacts.org/images/products/303/445/000/1123/nutrition.15.200.jpg,180,45,180,NA,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2.5,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,6,NA,NA,NA,21,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Spain
8715035130302,https://world.openfoodfacts.org/product/8715035130302,openfoodfacts-contributors,1391117134,1632664065,NA,NA,NA,250 ml,"Verre,Bouchon plastique,Bouteille","verre,bouchon-plastique,bouteille",NA,Kikkoman,kikkoman,"Epicerie,Condiments,Sauces,Sauces au soja","en:groceries,en:condiments,en:sauces,en:soy-sauces",NA,NA,NA,NA,Point Vert,en:green-dot,NA,NA,NA,NA,"France,Lyon",Carrefour,"France,Allemagne,Espagne,Suisse","water, soybeans, wheat, salt, alcohol vinegar, alcohol, sugar","en:gluten,en:soybeans","en:gluten,en:soybeans",NA,NA,100ml,100,NA,0,NA,0,NA,NA,0,NA,NA,11,d,3,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-to-be-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:soy-sauces,https://images.openfoodfacts.org/images/products/871/503/513/0302/front.15.400.jpg,https://images.openfoodfacts.org/images/products/871/503/513/0302/front.15.200.jpg,https://images.openfoodfacts.org/images/products/871/503/513/0302/front.15.400.jpg,https://images.openfoodfacts.org/images/products/871/503/513/0302/front.15.200.jpg,https://images.openfoodfacts.org/images/products/871/503/513/0302/ingredients.11.400.jpg,https://images.openfoodfacts.org/images/products/871/503/513/0302/ingredients.11.200.jpg,https://images.openfoodfacts.org/images/products/871/503/513/0302/nutrition.12.400.jpg,https://images.openfoodfacts.org/images/products/871/503/513/0302/nutrition.12.200.jpg,450,107.48,450,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA,9.1,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Spain
8715035130104,https://world.openfoodfacts.org/product/8715035130104,phoenix,1432382719,1632647831,Soja Sauce,NA,Sauce Soja,150ml,"Bouteille,Verre,Plastique,bouteille, bouteille verre","bouteille,verre,plastique,bouteille,bouteille-verre",NA,Kikkoman,kikkoman,"Groceries, Condiments, Sauces, Soy sauces, fr:Sauces au soja salées","en:groceries,en:condiments,en:sauces,en:soy-sauces,fr:sauces-au-soja-salees",NA,NA,Paesi Bassi,paesi-bassi,"Low or no salt, Low salt, Reduced salt","en:low-or-no-salt,en:low-salt,en:reduced-salt",NA,NA,NA,NA,"Cesson Sévigné,France,Italia","Carrefour,Magasins U,Bennet","en:France, en:Italy, en:Netherlands, España, en:Switzerland, Germany","water, soybeans, wheat, salt, alcohol vinegar, alcohol, sugar,",NA,"en:gluten,en:soybeans",en:soybeans,en:soybeans,100g,100,NA,0,NA,0,NA,NA,0,NA,NA,11,d,3,Fat and sauces,Dressings and sauces,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-completed, en:expiration-date-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,fr:sauces-au-soja-salees,https://images.openfoodfacts.org/images/products/871/503/513/0104/front_en.77.400.jpg,https://images.openfoodfacts.org/images/products/871/503/513/0104/front_en.77.200.jpg,https://images.openfoodfacts.org/images/products/871/503/513/0104/front_en.77.400.jpg,https://images.openfoodfacts.org/images/products/871/503/513/0104/front_en.77.200.jpg,https://images.openfoodfacts.org/images/products/871/503/513/0104/ingredients.7.400.jpg,https://images.openfoodfacts.org/images/products/871/503/513/0104/ingredients.7.200.jpg,https://images.openfoodfacts.org/images/products/871/503/513/0104/nutrition_en.79.400.jpg,https://images.openfoodfacts.org/images/products/871/503/513/0104/nutrition_en.79.200.jpg,450,107,450,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,NA,NA,NA,9.1,3.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Spain
4009900484039,https://world.openfoodfacts.org/product/4009900484039,openfoodfacts-contributors,1486985846,1632608692,Menta,NA,NA,1,NA,NA,NA,Wrigley's,wrigley-s,"Alimentos y bebidas de origen vegetal,Alimentos de origen vegetal,Comestibles,Botanas,Condimentos,Snacks dulces,Dulces,Plantas culinarias,Plantas aromáticas,Hierbas aromáticas,Menta,Chicles","en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:snacks,en:condiments,en:sweet-snacks,en:confectioneries,en:culinary-plants,en:aromatic-plants,en:aromatic-herbs,en:mint,en:chewing-gum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Francia,España",NA,NA,NA,NA,NA,serving,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sugary snacks,Sweets,"en:to-be-completed, en:nutrition-facts-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-to-be-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-to-be-selected, en:ingredients-photo-to-be-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:chewing-gum,https://images.openfoodfacts.org/images/products/400/990/048/4039/front_en.22.400.jpg,https://images.openfoodfacts.org/images/products/400/990/048/4039/front_en.22.200.jpg,https://images.openfoodfacts.org/images/products/400/990/048/4039/front_en.22.400.jpg,https://images.openfoodfacts.org/images/products/400/990/048/4039/front_en.22.200.jpg,NA,NA,NA,NA,NA,149,623,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Spain
8421401301206,https://world.openfoodfacts.org/product/8421401301206,kiliweb,1558258450,1632563449,Pimentón de la vera picante,NA,NA,70 g,en:steel-tin,en-steel-tin,NA,La Chinata,la-chinata,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Epicerie, Condiments, Epices, Paprika","en:plant-based-foods-and-beverages,en:plant-based-foods,en:groceries,en:condiments,en:spices,en:paprika",NA,NA,NA,NA,en:gluten-free,en:no-gluten,NA,NA,NA,NA,NA,NA,"France,Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,unknown,unknown,"en:to-be-completed, en:nutrition-facts-to-be-completed, en:ingredients-to-be-completed, en:expiration-date-to-be-completed, en:packaging-code-to-be-completed, en:characteristics-to-be-completed, en:origins-to-be-completed, en:categories-completed, en:brands-completed, en:packaging-completed, en:quantity-completed, en:product-name-completed, en:photos-to-be-validated, en:packaging-photo-to-be-selected, en:nutrition-photo-selected, en:ingredients-photo-selected, en:front-photo-selected, en:photos-uploaded",NA,NA,NA,en:paprika,https://images.openfoodfacts.org/images/products/842/140/130/1206/front_fr.14.400.jpg,https://images.openfoodfacts.org/images/products/842/140/130/1206/front_fr.14.200.jpg,https://images.openfoodfacts.org/images/products/842/140/130/1206/front_fr.14.400.jpg,https://images.openfoodfacts.org/images/products/842/140/130/1206/front_fr.14.200.jpg,https://images.openfoodfacts.org/images/products/842/140/130/1206/ingredients_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/842/140/130/1206/ingredients_fr.3.200.jpg,https://images.openfoodfacts.org/images/products/842/140/130/1206/nutrition_fr.3.400.jpg,https://images.openfoodfacts.org/images/products/842/140/130/1206/nutrition_fr.3.200.jpg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Condiments,Spain
